Symbol,Tradable,DollarVolume,Price,Score,Rank,AsOf
MOH,Y,1.42996e+08,189.37,,,2026-09-23
MOS,Y,1.68865e+08,24.37,,,2026-09-23
MRK,Y,1.19491e+09,148.08,,,2026-09-23
MRSH,Y,3.89497e+08,170.38,,,2026-09-23
MRVL,Y,4.87218e+09,260.9,2.7912,7,2026-09-23
MS,Y,9.48187e+08,198.39,,,2026-09-23
MSFT,Y,1.1493e+10,500.59,-0.868671,48,2026-09-23
MSTR,Y,1.9585e+09,162.2,-3.31713,73,2026-09-23
MT,Y,9.5768e+07,71.92,,,2026-09-23
MTB,Y,2.58549e+08,219.58,,,2026-09-23
MTCH,Y,1.20561e+08,40.48,,,2026-09-23
MTG,Y,5.03531e+07,29.3,,,2026-09-23
MTZ,Y,3.59974e+08,217.52,,,2026-09-23
MU,Y,3.13266e+10,1071.88,2.58648,10,2026-09-23
MUFG,Y,6.24748e+07,22.82,,,2026-09-23
MUR,Y,5.45061e+07,36.21,,,2026-09-23
MUX,Y,1.75391e+07,18.82,,,2026-09-23
MWA,Y,2.6261e+07,21.72,,,2026-09-23
NBIX,Y,1.8133e+08,139.49,,,2026-09-23
NDAQ,Y,3.04579e+08,95.44,,,2026-09-23
NEE,Y,9.07166e+08,77.02,,,2026-09-23
NEM,Y,7.92091e+08,123.55,,,2026-09-23
NEO,Y,2.91799e+07,18.36,,,2026-09-23
NEOG,Y,1.87386e+07,13.57,,,2026-09-23
NFLX,Y,2.48953e+09,71.36,-2.64994,71,2026-09-23
NI,Y,2.14901e+08,39.25,,,2026-09-23
NKE,Y,9.38126e+08,36.05,-1.90955,62,2026-09-23
NLY,Y,1.54331e+08,21.04,,,2026-09-23
NNN,Y,6.06442e+07,41.33,,,2026-09-23
NOG,Y,5.55669e+07,23.14,,,2026-09-23
NOK,Y,8.34815e+08,10.63,2.6329,9,2026-09-23
NOV,Y,6.10383e+07,20.28,,,2026-09-23
NRG,Y,3.15678e+08,100.72,,,2026-09-23
NSC,Y,3.65243e+08,315.01,,,2026-09-23
NTAP,Y,4.18725e+08,196.33,,,2026-09-23
NTDOY,Y,2.73961e+07,13.12,,,2026-09-23
